Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P30084	P30084	6	6	6	Enoyl-CoA hydratase, mitochondrial	ECHS1	>sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4	1	6	6	6	23.4	23.4	23.4	31.387	290	290	2.6586E-59	2.8158	2.011	17.735	5	208800000	49804000	158990000				1534	310;894;5821;6343;8327;9614	True;True;True;True;True;True	310;898;5831;6353;8340;9631	351;1060;1061;7025;7628;9992;11478	652;1929;1930;1931;1932;1933;1934;12786;13836;13837;18004;18005;20733	652;1930;12786;13836;18005;20733		
P30085;Q5T0D2;E9PGI8	P30085;Q5T0D2;E9PGI8	6;5;3	6;5;3	6;5;3	UMP-CMP kinase	CMPK1	>sp|P30085|KCY_HUMAN UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3;>tr|Q5T0D2|Q5T0D2_HUMAN UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=2 SV=1;>tr|E9PGI8|E9PGI8_HUMAN UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=2 SV=1	3	6	6	6	38.8	38.8	38.8	22.222	196	196;169;179	1.8699E-41	1.3293	1.0764	5.7698	5	120250000	47045000	73207000				1535	2659;3319;5410;5849;8376;12251	True;True;True;True;True;True	2666;3326;5420;5859;8389;12271	3160;3928;6511;7060;10045;14690	5662;5663;7069;7070;7071;11882;11883;11884;12841;12842;12843;12844;18114;26812;26813	5662;7069;11884;12842;18114;26812		
P30086	P30086	8	8	8	Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide	PEBP1	>sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3	1	8	8	8	61	61	61	21.057	187	187	5.5675E-58	3.2485	1.9552	9.9238	11	1846900000	463130000	1383800000				1536	3002;4134;7444;7486;7487;8415;12054;12518	True;True;True;True;True;True;True;True	3009;4142;7456;7498;7499;8428;12074;12538	3562;4947;8956;9012;9013;10086;10087;14461;14462;15010;15011	6382;6383;6384;6385;8971;8972;8973;16131;16227;16228;16229;16230;16231;16232;16233;18189;18190;18191;18192;18193;18194;26393;26394;26395;26396;26397;26398;26399;26400;27415;27416;27417;27418;27419;27420	6382;8972;16131;16228;16232;18189;26396;27416		
P30405;Q2YDB7;E9PKY5;E9PEQ6;Q9UNP9-2;Q9UNP9;Q9UNP9-3	P30405;Q2YDB7;E9PKY5;E9PEQ6;Q9UNP9-2;Q9UNP9;Q9UNP9-3	2;1;1;1;1;1;1	2;1;1;1;1;1;1	2;1;1;1;1;1;1	Peptidyl-prolyl cis-trans isomerase F, mitochondrial;Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase E	PPIF;PPIE	>sp|P30405|PPIF_HUMAN Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens GN=PPIF PE=1 SV=1;>tr|Q2YDB7|Q2YDB7_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIF PE=2 SV=1;>tr|E9PKY5|E9PKY5_HUMAN Peptidyl-prolyl cis-trans iso	7	2	2	2	17.4	17.4	17.4	22.04	207	207;155;213;250;296;301;314	0.0015288	NaN	NaN	NaN	1	8897700	4896200	4001500				1537	4278;10209	True;True	4287;10227	5114;12169	9279;22012;22013	9279;22013		
P30419-2;P30419;K7EN82;B7Z8J4;B4DXS1;Q5VUC6;F5H594;O60551;Q5VUC7	P30419-2;P30419;K7EN82	6;6;3;2;1;1;1;1;1	6;6;3;2;1;1;1;1;1	6;6;3;2;1;1;1;1;1	Glycylpeptide N-tetradecanoyltransferase 1	NMT1	>sp|P30419-2|NMT1_HUMAN Isoform Short of Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1;>sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2;>tr|K7EN82|K7EN82_HUMAN Glycylpeptide N-tetradeca	9	6	6	6	22.6	22.6	22.6	48.14	416	416;496;72;137;310;485;485;498;529	1.0762E-62	1.2851	1.1296	35.924	6	69570000	30911000	38659000				1538	486;3218;3794;6379;8746;10103	True;True;True;True;True;True	487;3225;3802;6389;8760;10121	567;3812;3813;4478;7673;10471;10472;12046	1049;1050;6853;6854;6855;8076;8077;8078;13912;18931;18932;21770;21771;21772	1050;6853;8077;13912;18931;21772		
P30447;P16188	P30447;P16188	10;8	1;1	0;0	HLA class I histocompatibility antigen, A-23 alpha chain;HLA class I histocompatibility antigen, A-30 alpha chain	HLA-A	>sp|P30447|1A23_HUMAN HLA class I histocompatibility antigen, A-23 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1;>sp|P16188|1A30_HUMAN HLA class I histocompatibility antigen, A-30 alpha chain OS=Homo sapiens GN=HLA-A PE=2 SV=2	2	10	1	0	31	3.8	0	40.732	365	365;365	2.3171E-202	NaN	NaN	NaN	0	17009000	17009000	0				1539	864;865;1450;1451;3256;9224;10084;10362;11937;12312	False;False;False;False;False;False;True;False;False;False	868;869;1455;1456;3263;9238;10102;10381;11956;12332	1026;1027;1721;1722;1723;3857;11031;12019;12020;12390;12391;14291;14764;14765	1852;1853;1854;3103;3104;3105;3106;3107;3108;3109;3110;3111;3112;3113;6945;6946;19916;21717;21718;22430;22431;22432;22433;22434;26061;26062;26943;26944;26945;26946	1852;1854;3105;3106;6946;19916;21718;22433;26061;26944		
P30481;P30485;P30488;P30487;P30483;P03989	P30481;P30485;P30488;P30487;P30483;P03989	11;8;7;7;7;7	7;4;3;3;3;3	3;0;0;0;0;0	HLA class I histocompatibility antigen, B-44 alpha chain;HLA class I histocompatibility antigen, B-47 alpha chain;HLA class I histocompatibility antigen, B-50 alpha chain;HLA class I histocompatibility antigen, B-49 alpha chain;HLA class I histocompatibility antigen, B-45 alpha chain;HLA class I histocompatibility antigen, B-27 alpha chain	HLA-B	>sp|P30481|1B44_HUMAN HLA class I histocompatibility antigen, B-44 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1;>sp|P30485|1B47_HUMAN HLA class I histocompatibility antigen, B-47 alpha chain OS=Homo sapiens GN=HLA-B PE=2 SV=1;>sp|P30488|1B50_HUMAN HLA cl	6	11	7	3	36.2	29.3	13.8	40.481	362	362;362;362;362;362;362	1.169E-140	2.3814	1.698	60.452	5	836080000	200510000	635580000				1540	869;1450;1452;3277;4470;4471;9224;10373;11937;12210;12312	True;False;True;True;True;True;False;True;False;True;False	873;1455;1457;3284;4479;4480;9238;10392;11956;12230;12332	1031;1721;1724;1725;1726;3880;5348;5349;11031;12406;12407;14291;14641;14764;14765	1865;1866;3103;3104;3105;3114;3115;3116;3117;3118;3119;3120;3121;3122;6984;9739;9740;9741;19916;22459;22460;22461;26061;26062;26715;26943;26944;26945;26946	1866;3105;3115;6984;9739;9741;19916;22460;26061;26715;26944		
P30508;P30510;P30504	P30508;P30510;P30504	11;9;6	11;9;6	0;0;0	HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain;HLA class I histocompatibility antigen, Cw-4 alpha chain	HLA-C	>sp|P30508|1C12_HUMAN HLA class I histocompatibility antigen, Cw-12 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=2;>sp|P30510|1C14_HUMAN HLA class I histocompatibility antigen, Cw-14 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=2;>sp|P30504|1C04_HUMAN HLA 	3	11	11	0	35.8	35.8	0	40.885	366	366;366;366	1.2311E-150	1.1044	0.869	75.787	14	912900000	422410000	490490000				1541	870;871;1450;1451;3256;4472;9224;10085;10375;11937;12312	True;True;True;True;True;True;True;True;True;True;True	874;875;1455;1456;3263;4481;9238;10103;10394;11956;12332	1032;1033;1721;1722;1723;3857;5350;11031;12021;12022;12415;12416;14291;14764;14765	1867;1868;3103;3104;3105;3106;3107;3108;3109;3110;3111;3112;3113;6945;6946;9742;19916;21719;21720;21721;21722;22480;22481;22482;22483;22484;26061;26062;26943;26944;26945;26946	1867;1868;3105;3106;6946;9742;19916;21720;22484;26061;26944		
P30519;I3L276;I3L4P8;I3L463;I3L159;I3L1F5;I3L430;I3L1Y2	P30519;I3L276;I3L4P8;I3L463;I3L159;I3L1F5;I3L430	4;3;3;3;3;3;3;1	4;3;3;3;3;3;3;1	4;3;3;3;3;3;3;1	Heme oxygenase 2	HMOX2	>sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2;>tr|I3L276|I3L276_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens GN=HMOX2 PE=2 SV=1;>tr|I3L4P8|I3L4P8_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens GN=HMOX2 PE=2 SV=1;>tr|I3L	8	4	4	4	20.3	20.3	20.3	36.032	316	316;110;131;132;229;238;287;110	5.736E-24	2.28	1.8128	45.202	3	34216000	11772000	22444000				1542	323;7496;8189;9247	True;True;True;True	323;7508;8202;9261	367;9023;9835;11054	681;16249;17726;17727;17728;19969	681;16249;17727;19969		
P30520	P30520	2	2	2	Adenylosuccinate synthetase isozyme 2	ADSS	>sp|P30520|PURA2_HUMAN Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens GN=ADSS PE=1 SV=3	1	2	2	2	7	7	7	50.097	456	456	1.4392E-15	0.78309	0.68926	0.89256	3	17112000	9861200	7250900				1543	6114;11197	True;True	6124;11217	7374;13419;13420	13400;24466;24467;24468	13400;24467		
P30533	P30533	1	1	1	Alpha-2-macroglobulin receptor-associated protein	LRPAP1	>sp|P30533|AMRP_HUMAN Alpha-2-macroglobulin receptor-associated protein OS=Homo sapiens GN=LRPAP1 PE=1 SV=1	1	1	1	1	4.5	4.5	4.5	41.465	357	357	0.0057306	NaN	NaN	NaN	1	6185000	2813300	3371600				1544	11694	True	11714	14000	25521	25521		
P30566-2;P30566;E7ERF4	P30566-2;P30566;E7ERF4	3;3;2	3;3;2	3;3;2	Adenylosuccinate lyase	ADSL	>sp|P30566-2|PUR8_HUMAN Isoform 2 of Adenylosuccinate lyase OS=Homo sapiens GN=ADSL;>sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2;>tr|E7ERF4|E7ERF4_HUMAN Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=2 SV=1	3	3	3	3	10.1	10.1	10.1	48.328	425	425;484;498	1.5883E-08	0.48209	0.39615	2.9405	2	30442000	21948000	8493800				1545	52;992;7993	True;True;True	52;996;8006	59;1176;9598	109;110;2137;17299	110;2137;17299		
P30740;B4DNT0	P30740	5;2	5;2	5;2	Leukocyte elastase inhibitor	SERPINB1	>sp|P30740|ILEU_HUMAN Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1	2	5	5	5	17.7	17.7	17.7	42.741	379	379;228	1.9451E-18	12.097	9.4039	24.536	3	108750000	5372400	103370000				1546	5762;6464;10272;10850;10858	True;True;True;True;True	5772;6474;10290;10870;10878	6950;7766;12238;12239;12999;13008;13009	12653;14099;22159;22160;22161;23618;23634;23635;23636	12653;14099;22160;23618;23634		
P30837	P30837	9	8	8	Aldehyde dehydrogenase X, mitochondrial	ALDH1B1	>sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3	1	9	8	8	22.4	20.9	20.9	57.206	517	517	2.2094E-55	2.0668	1.6772	19.623	7	105650000	30051000	75601000				1547	2272;4808;6020;6728;10295;10896;10901;11209;11766	True;True;True;True;True;True;True;True;False	2278;4817;6030;6738;10313;10916;10921;11229;11785	2721;2722;5770;7268;8125;12269;13051;13052;13053;13058;13434;14087	4859;4860;10512;10513;13200;13201;13202;14744;22210;22211;22212;23715;23716;23717;23726;24497;24498;25708	4859;10512;13200;14744;22212;23716;23726;24498;25708		
P31146;H3BRY3	P31146;H3BRY3	10;5	10;5	10;5	Coronin-1A;Coronin	CORO1A	>sp|P31146|COR1A_HUMAN Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4;>tr|H3BRY3|H3BRY3_HUMAN Coronin OS=Homo sapiens GN=CORO1A PE=2 SV=1	2	10	10	10	21.5	21.5	21.5	51.026	461	461;389	3.8359E-46	1.239	0.87842	24.958	11	761350000	358790000	402560000				1548	98;1284;5831;5895;6136;7016;9079;9149;9303;12191	True;True;True;True;True;True;True;True;True;True	98;1289;5841;5905;6146;7027;9093;9163;9317;12211	111;1508;7038;7039;7115;7116;7398;8470;10859;10944;11122;14621	206;207;208;2715;2716;12810;12811;12812;12813;12814;12942;12943;12944;12945;12946;12947;13441;15324;19618;19754;20098;26673;26674;26675;26676;26677	207;2716;12810;12946;13441;15324;19618;19754;20098;26673		
P31150;G5E9U5	P31150	15;5	8;2	8;2	Rab GDP dissociation inhibitor alpha	GDI1	>sp|P31150|GDIA_HUMAN Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2	2	15	8	8	46.1	29.3	29.3	50.582	447	447;147	6.6802E-159	5.1887	3.5662	11.002	6	309550000	36810000	272740000				1549	2049;2932;3112;3330;3443;5709;7132;7479;7501;7757;8371;9826;10265;11610;12259	False;True;False;False;True;False;True;False;True;False;True;False;True;True;True	2055;2939;3119;3337;3450;5719;7144;7491;7513;7770;8384;9843;10283;11630;12279	2474;3488;3689;3690;3939;4073;6875;6876;8602;9003;9030;9318;10040;11714;11715;12230;13903;13904;14701	4430;4431;6258;6629;6630;6631;6632;7089;7329;7330;12525;12526;12527;15538;15539;15540;16212;16261;16262;16800;16801;18102;18103;21153;21154;21155;21156;21157;21158;21159;21160;21161;22140;22141;22142;25349;25350;25351;25352;25353;26834	4431;6258;6632;7089;7330;12527;15538;16212;16261;16801;18102;21154;22141;25352;26834		
P31350;P31350-2	P31350;P31350-2	2;2	2;2	2;2	Ribonucleoside-diphosphate reductase subunit M2	RRM2	>sp|P31350|RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2 PE=1 SV=1;>sp|P31350-2|RIR2_HUMAN Isoform 2 of Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2	2	2	2	2	8.7	8.7	8.7	44.877	389	389;449	4.4375E-07	NaN	NaN	NaN	1	2807600	1863500	944100				1550	11074;11591	True;True	11094;11611	13271;13881	24161;25314	24161;25314		
P31930	P31930	12	12	12	Cytochrome b-c1 complex subunit 1, mitochondrial	UQCRC1	>sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3	1	12	12	12	29	29	29	52.645	480	480	1.9751E-49	1.69	1.266	26.928	13	578010000	216530000	361480000				1551	197;2036;2935;4796;4845;5346;7938;8315;9127;9480;9481;9678	True;True;True;True;True;True;True;True;True;True;True;True	197;2042;2942;4805;4854;5355;7951;8328;9141;9497;9498;9695	227;228;2458;3491;3492;5756;5808;6425;6426;9528;9529;9978;10917;11317;11318;11319;11546	427;428;429;430;4406;4407;4408;4409;6265;6266;6267;6268;6269;10485;10486;10577;10578;10579;11726;11727;17182;17183;17184;17185;17974;17975;19712;19713;19714;20454;20455;20456;20457;20841	429;4409;6266;10485;10577;11727;17184;17975;19714;20454;20456;20841		
P31937;H7BZL2	P31937	8;3	8;3	8;3	3-hydroxyisobutyrate dehydrogenase, mitochondrial	HIBADH	>sp|P31937|3HIDH_HUMAN 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=HIBADH PE=1 SV=2	2	8	8	8	38.7	38.7	38.7	35.329	336	336;206	1.169E-84	3.5986	2.8752	35.588	10	210480000	47781000	162700000				1552	1425;1634;2327;4291;5129;7654;9801;10622	True;True;True;True;True;True;True;True	1430;1639;2334;4300;5138;7668;9818;10641	1695;1941;2782;2783;5127;6162;9199;11686;11687;12711	3053;3054;3498;3499;3500;3501;3502;4985;4986;4987;4988;4989;4990;4991;9309;9310;11228;11229;11230;11231;16571;21102;21103;21104;21105;23034;23035;23036	3053;3500;4986;9309;11231;16571;21103;23034		
P31939;E9PBU3;F5GWY2;H7C1S2;C9JLK0;F8WEF0;H7BZU3;H7C084	P31939;E9PBU3;F5GWY2	23;22;19;8;6;4;4;4	23;22;19;8;6;4;4;4	23;22;19;8;6;4;4;4	Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase	ATIC	>sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3;>tr|E9PBU3|E9PBU3_HUMAN Phosphoribosylaminoimidazolecarboxamide formyltransferase OS=Homo sapiens GN=ATIC PE=2 SV=1;>tr|F5GWY2|F5GWY2_HUMAN Phosphoribosyl	8	23	23	23	51.7	51.7	51.7	64.615	592	592;591;533;231;170;84;107;200	1.8276E-212	0.72251	0.58229	27.446	19	556010000	373210000	182800000				1553	260;355;607;608;794;825;2029;2143;2978;4431;4761;6102;7246;8129;8281;9081;9498;10332;10466;10477;10523;10766;12233	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	260;355;608;609;798;829;2035;2149;2985;4440;4770;6112;7258;8142;8294;9095;9515;10350;10485;10496;10542;10785;12253	299;404;708;709;710;942;979;2449;2581;3536;5297;5716;5717;7361;8728;9765;9940;10863;11338;12313;12519;12531;12590;12882;14669	559;560;561;750;751;752;753;1282;1283;1284;1674;1741;4392;4393;4635;4636;6336;6337;9647;9648;10397;10398;10399;10400;10401;10402;13377;13378;13379;15750;15751;15752;15753;17600;17601;17911;17912;19623;20489;20490;20491;20492;22291;22669;22685;22686;22799;23387;23388;23389;23390;23391;26765;26766;26767	559;753;1282;1284;1674;1741;4392;4635;6337;9648;10398;13377;15751;17600;17912;19623;20489;22291;22669;22686;22799;23388;26767		
P31942-3;P31942-2;P31942;P31942-4;B4DHY1;P31942-6;P31942-5	P31942-3;P31942-2;P31942;P31942-4;B4DHY1;P31942-6;P31942-5	4;4;4;3;3;2;2	4;4;4;3;3;2;2	4;4;4;3;3;2;2	Heterogeneous nuclear ribonucleoprotein H3	HNRNPH3	>sp|P31942-3|HNRH3_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3;>sp|P31942-2|HNRH3_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3;>sp|P31942|HNRH3_HUMAN Heterogeneous nuc	7	4	4	4	22.2	22.2	22.2	31.525	297	297;331;346;215;238;139;145	1.1099E-41	1.0895	0.80307	10.162	5	180910000	91098000	89808000				1554	1052;1473;2426;4121	True;True;True;True	1056;1478;2433;4129	1243;1244;1750;2904;4933	2259;2260;2261;2262;2263;2264;2265;3161;3162;5214;5215;8952	2261;3161;5214;8952		
P31946;Q4VY20;Q4VY19	P31946;Q4VY20;Q4VY19	10;6;6	5;2;2	1;1;1	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	YWHAB	>sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3;>tr|Q4VY20|Q4VY20_HUMAN 14-3-3 protein beta/alpha (Fragment) OS=Homo sapiens GN=YWHAB PE=2 SV=1;>tr|Q4VY19|Q4VY19_HUMAN 14-3-3 protein beta/alpha (Fragment) OS=Homo sapiens	3	10	5	1	46.3	30.1	4.1	28.082	246	246;74;100	5.4765E-100	1.6168	1.1045	22.919	7	516840000	197870000	318970000				1555	1189;1931;5985;8248;8249;9023;10130;10536;12124;12324	True;False;False;False;False;True;True;True;False;True	1194;1937;5995;8261;8262;9037;10148;10555;12144;12344	1402;1403;2311;7228;7229;9904;9905;10794;12076;12077;12606;14545;14778	2532;2533;2534;2535;4161;4162;13125;13126;13127;13128;13129;17840;17841;17842;19512;21823;21824;21825;21826;21827;21828;21829;22828;22829;26542;26543;26966;26967;26968;26969	2535;4162;13126;17840;17842;19512;21825;22828;26543;26969		
P31946-2;P31947-2;P31947	P31946-2	10;2;2	1;0;0	1;0;0			>sp|P31946-2|1433B_HUMAN Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB	3	10	1	1	46.3	3.7	3.7	27.85	244	244;216;248	6.0598E-99	NaN	NaN	NaN	1	36654000	14440000	22214000				1556	1189;1931;5985;7541;8248;8249;9023;10130;12124;12324	False;False;False;True;False;False;False;False;False;False	1194;1937;5995;7554;8261;8262;9037;10148;12144;12344	1402;1403;2311;7228;7229;9076;9904;9905;10794;12076;12077;14545;14778	2532;2533;2534;2535;4161;4162;13125;13126;13127;13128;13129;16350;17840;17841;17842;19512;21823;21824;21825;21826;21827;21828;21829;26542;26543;26966;26967;26968;26969	2535;4162;13126;16350;17840;17842;19512;21825;26543;26969		
P31948;G3XAD8;F5H0T1;F5H783;F5GXD8;H0YGI8	P31948;G3XAD8;F5H0T1	18;16;15;8;6;3	18;16;15;8;6;3	18;16;15;8;6;3	Stress-induced-phosphoprotein 1	STIP1	>sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1;>tr|G3XAD8|G3XAD8_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=2 SV=1;>tr|F5H0T1|F5H0T1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=	6	18	18	18	37.8	37.8	37.8	62.639	543	543;590;519;236;138;137	4.6448E-83	0.84693	0.63219	14.931	19	666240000	364560000	301680000				1557	20;21;22;728;1386;2536;2879;3375;5035;6086;6129;6534;6535;6824;7610;7611;10849;12284	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	20;21;22;730;1391;2543;2886;3382;5044;6096;6139;6544;6545;6834;7624;7625;10869;12304	21;22;23;848;1629;3026;3027;3425;3993;6044;6045;7343;7391;7849;7850;8250;9152;9153;12998;14729	34;35;36;37;1522;1523;1524;1525;2936;5412;5413;5414;5415;5416;5417;6137;7174;11011;11012;11013;11014;13351;13352;13427;13428;14251;14252;14253;14951;16494;16495;16496;16497;23617;26881;26882;26883	34;35;37;1525;2936;5412;6137;7174;11013;13351;13427;14251;14253;14951;16494;16497;23617;26883		
P31949	P31949	2	2	2	Protein S100-A11	S100A11	>sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2	1	2	2	2	23.8	23.8	23.8	11.74	105	105	3.6815E-84	1.1113	0.72962	5.9807	2	133880000	60209000	73669000				1558	1500;10217	True;True	1505;10235	1785;12177	3222;3223;3224;22030;22031;22032	3223;22031		
P31994-2;P31995-4;P31995-3;P31995-2;P31994-3;P31994;P31995	P31994-2;P31995-4;P31995-3;P31995-2;P31994-3;P31994;P31995	2;1;1;1;1;1;1	2;1;1;1;1;1;1	2;1;1;1;1;1;1	Low affinity immunoglobulin gamma Fc region receptor II-b;Low affinity immunoglobulin gamma Fc region receptor II-c	FCGR2B;FCGR2C	>sp|P31994-2|FCG2B_HUMAN Isoform IIB2 of Low affinity immunoglobulin gamma Fc region receptor II-b OS=Homo sapiens GN=FCGR2B;>sp|P31995-4|FCG2C_HUMAN Isoform IIC4 of Low affinity immunoglobulin gamma Fc region receptor II-c OS=Homo sapiens GN=FCGR2C;>sp|P3	7	2	2	2	14.1	14.1	14.1	31.944	291	291;234;267;276;303;310;323	0.00035444	NaN	NaN	NaN	1	19559000	7507300	12051000				1559	4341;5427	True;True	4350;5437	5184;6530	9424;9425;9426;9427;11917	9425;11917		
P32119;A6NIW5;P32119-2	P32119;A6NIW5	7;5;1	6;5;1	6;5;1	Peroxiredoxin-2	PRDX2	>sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5;>tr|A6NIW5|A6NIW5_HUMAN Peroxiredoxin 2, isoform CRA_a OS=Homo sapiens GN=PRDX2 PE=2 SV=2	3	7	6	6	28.8	23.2	23.2	21.892	198	198;136;142	6.541E-20	0.80016	0.54218	12.446	6	286980000	163420000	123560000				1560	1043;2361;4039;5699;7147;8832;9163	True;True;True;True;True;False;True	1047;2368;4047;5709;7159;8846;9177	1233;2821;4839;6863;8620;10574;10960	2241;2242;5057;8796;8797;8798;12508;15571;15572;15573;19116;19117;19778	2242;5057;8797;12508;15572;19117;19778		
P32322;E2QRB3;P32322-2;B4DMU0;J3KQ22;J3QL24;J3QKT4;J3QR88;J3QLK9;J3QL32;J3KTA8;J3QKT3;J3QRZ0;J3QL23	P32322;E2QRB3;P32322-2;B4DMU0;J3KQ22;J3QL24;J3QKT4	6;5;5;5;4;3;3;2;2;2;1;1;1;1	6;5;5;5;4;3;3;2;2;2;1;1;1;1	6;5;5;5;4;3;3;2;2;2;1;1;1;1	Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase	PYCR1	>sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens GN=PYCR1 PE=1 SV=2;>tr|E2QRB3|E2QRB3_HUMAN Pyrroline-5-carboxylate reductase 1, isoform CRA_c OS=Homo sapiens GN=PYCR1 PE=4 SV=2;>sp|P32322-2|P5CR1_HUMAN Isoform 2 of	14	6	6	6	28.5	28.5	28.5	33.36	319	319;288;316;346;253;225;242;132;165;217;84;94;115;173	2.8225E-34	0.8123	0.68044	8.7736	6	76496000	41737000	34758000				1561	2344;2620;6138;6353;7752;10022	True;True;True;True;True;True	2351;2627;6148;6363;7765;10039	2803;3118;7400;7640;9313;11945	5025;5582;5583;13443;13854;16793;21578;21579;21580	5025;5583;13443;13854;16793;21579		
P33176;O60282-2;E9PET8;J3KNA1;O60282;Q12840	P33176	10;3;3;3;3;3	10;3;3;3;3;3	10;3;3;3;3;3	Kinesin-1 heavy chain	KIF5B	>sp|P33176|KINH_HUMAN Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1	6	10	10	10	15.2	15.2	15.2	109.68	963	963;725;862;943;957;1032	1.1969E-46	1.0004	0.86276	35.353	8	64800000	37694000	27106000				1562	2960;3876;5441;6555;8474;8614;8855;9246;10307;10648	True;True;True;True;True;True;True;True;True;True	2967;3884;5451;6565;8487;8628;8869;9260;10325;10667	3517;4577;6549;7918;10153;10320;10602;11053;12282;12740	6308;8269;8270;11947;11948;14376;14377;18324;18325;18326;18327;18328;18655;19168;19966;19967;19968;22237;23089	6308;8269;11947;14377;18326;18655;19168;19967;22237;23089		
